,ReportDate,CrashCount,Year,Month,Day
475,2014/07/20,48,2014,07,20
476,2014/07/21,50,2014,07,21
477,2014/07/22,51,2014,07,22
478,2014/07/23,48,2014,07,23
479,2014/07/24,54,2014,07,24
480,2014/07/25,64,2014,07,25
481,2014/07/26,55,2014,07,26
482,2014/07/27,45,2014,07,27
483,2014/07/28,57,2014,07,28
484,2014/07/29,55,2014,07,29
485,2014/07/30,56,2014,07,30
486,2014/07/31,61,2014,07,31
487,2014/08/01,54,2014,08,01
488,2014/08/02,51,2014,08,02
489,2014/08/03,51,2014,08,03
490,2014/08/04,61,2014,08,04
491,2014/08/05,50,2014,08,05
492,2014/08/06,46,2014,08,06
493,2014/08/07,66,2014,08,07
494,2014/08/08,70,2014,08,08
495,2014/08/09,39,2014,08,09
496,2014/08/10,50,2014,08,10
497,2014/08/11,53,2014,08,11
498,2014/08/12,36,2014,08,12
499,2014/08/13,54,2014,08,13
500,2014/08/14,45,2014,08,14
501,2014/08/15,45,2014,08,15
502,2014/08/16,53,2014,08,16
503,2014/08/17,44,2014,08,17
504,2014/08/18,39,2014,08,18
505,2014/08/19,59,2014,08,19
506,2014/08/20,54,2014,08,20
507,2014/08/21,49,2014,08,21
508,2014/08/22,57,2014,08,22
509,2014/08/23,56,2014,08,23
510,2014/08/24,54,2014,08,24
511,2014/08/25,57,2014,08,25
512,2014/08/26,57,2014,08,26
513,2014/08/27,58,2014,08,27
514,2014/08/28,61,2014,08,28
515,2014/08/29,73,2014,08,29
516,2014/08/30,59,2014,08,30
517,2014/08/31,39,2014,08,31
518,2014/09/01,37,2014,09,01
519,2014/09/02,52,2014,09,02
520,2014/09/03,50,2014,09,03
521,2014/09/04,53,2014,09,04
522,2014/09/05,52,2014,09,05
523,2014/09/06,69,2014,09,06
524,2014/09/07,38,2014,09,07
525,2014/09/08,50,2014,09,08
526,2014/09/09,67,2014,09,09
527,2014/09/10,64,2014,09,10
528,2014/09/11,73,2014,09,11
529,2014/09/12,81,2014,09,12
530,2014/09/13,67,2014,09,13
531,2014/09/14,48,2014,09,14
532,2014/09/15,50,2014,09,15
533,2014/09/16,66,2014,09,16
534,2014/09/17,45,2014,09,17
535,2014/09/18,54,2014,09,18
536,2014/09/19,67,2014,09,19
537,2014/09/20,58,2014,09,20
538,2014/09/21,53,2014,09,21
539,2014/09/22,62,2014,09,22
540,2014/09/23,55,2014,09,23
541,2014/09/24,64,2014,09,24
542,2014/09/25,64,2014,09,25
543,2014/09/26,78,2014,09,26
544,2014/09/27,59,2014,09,27
545,2014/09/28,69,2014,09,28
546,2014/09/29,38,2014,09,29
547,2014/09/30,70,2014,09,30
548,2014/10/01,54,2014,10,01
549,2014/10/02,70,2014,10,02
550,2014/10/03,65,2014,10,03
551,2014/10/04,61,2014,10,04
552,2014/10/05,49,2014,10,05
553,2014/10/06,66,2014,10,06
554,2014/10/07,63,2014,10,07
555,2014/10/08,59,2014,10,08
556,2014/10/09,47,2014,10,09
557,2014/10/10,69,2014,10,10
558,2014/10/11,59,2014,10,11
559,2014/10/12,48,2014,10,12
560,2014/10/13,24,2014,10,13
561,2014/10/14,70,2014,10,14
562,2014/10/15,68,2014,10,15
563,2014/10/16,60,2014,10,16
564,2014/10/17,82,2014,10,17
565,2014/10/18,90,2014,10,18
566,2014/10/19,55,2014,10,19
567,2014/10/20,48,2014,10,20
568,2014/10/21,72,2014,10,21
569,2014/10/22,62,2014,10,22
570,2014/10/23,52,2014,10,23
571,2014/10/24,70,2014,10,24
572,2014/10/25,68,2014,10,25
573,2014/10/26,51,2014,10,26
574,2014/10/27,45,2014,10,27
575,2014/10/28,46,2014,10,28
576,2014/10/29,51,2014,10,29
577,2014/10/30,44,2014,10,30
578,2014/10/31,70,2014,10,31
579,2014/11/01,67,2014,11,01
580,2014/11/02,40,2014,11,02
581,2014/11/03,57,2014,11,03
582,2014/11/04,63,2014,11,04
583,2014/11/05,52,2014,11,05
584,2014/11/06,73,2014,11,06
585,2014/11/07,69,2014,11,07
586,2014/11/08,61,2014,11,08
587,2014/11/09,40,2014,11,09
588,2014/11/10,52,2014,11,10
589,2014/11/11,35,2014,11,11
590,2014/11/12,56,2014,11,12
591,2014/11/13,66,2014,11,13
592,2014/11/14,61,2014,11,14
593,2014/11/15,46,2014,11,15
594,2014/11/16,63,2014,11,16
595,2014/11/17,69,2014,11,17
596,2014/11/18,58,2014,11,18
597,2014/11/19,73,2014,11,19
598,2014/11/20,55,2014,11,20
599,2014/11/21,67,2014,11,21
600,2014/11/22,47,2014,11,22
601,2014/11/23,37,2014,11,23
602,2014/11/24,62,2014,11,24
603,2014/11/25,40,2014,11,25
604,2014/11/26,57,2014,11,26
605,2014/11/27,19,2014,11,27
606,2014/11/28,33,2014,11,28
