,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PRCP,SNOW,SNWD,TAVG
143,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-08-22,5.37,0.0,0.0,0.0,79.0
144,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-08-23,4.03,0.02,0.0,0.0,75.0
145,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-08-24,5.14,0.0,0.0,0.0,69.0
146,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-08-25,3.58,0.0,0.0,0.0,70.0
147,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-08-26,5.82,0.0,0.0,0.0,73.0
148,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-08-27,5.82,0.0,0.0,0.0,81.0
149,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-08-28,4.7,0.01,0.0,0.0,78.0
150,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-08-29,7.61,0.0,0.0,0.0,77.0
151,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-08-30,5.14,0.0,0.0,0.0,77.0
152,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-08-31,4.7,0.0,0.0,0.0,79.0
153,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-09-01,3.58,0.0,0.0,0.0,80.0
154,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-09-02,4.92,0.01,0.0,0.0,81.0
155,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-09-03,7.38,0.0,0.0,0.0,79.0
156,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-09-04,3.36,0.0,0.0,0.0,72.0
157,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-09-05,7.83,0.0,0.0,0.0,72.0
158,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-09-06,5.59,0.0,0.0,0.0,69.0
159,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-09-07,3.13,0.0,0.0,0.0,67.0
160,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-09-08,7.16,0.01,0.0,0.0,75.0
161,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-09-09,5.82,0.0,0.0,0.0,71.0
162,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-09-10,4.25,0.0,0.0,0.0,79.0
